date,total_jobs,top_departments
2026-01-27,15,Not specified: 15
2026-01-28,15,Not specified: 15
2026-01-29,14,Not specified: 14
2026-01-30,14,Not specified: 14
2026-01-31,14,Not specified: 14
2026-02-01,14,Not specified: 14
2026-02-02,14,Not specified: 14
2026-02-03,13,Not specified: 13
2026-02-04,13,Not specified: 13
2026-02-05,14,Not specified: 14
2026-02-06,15,Not specified: 15
2026-02-07,16,Not specified: 16
2026-02-08,16,Not specified: 16
2026-02-09,16,Not specified: 16
2026-02-10,16,Not specified: 16
2026-02-11,18,Not specified: 18
2026-02-12,18,Not specified: 18
2026-02-13,17,Not specified: 17
2026-02-14,17,Not specified: 17
2026-02-15,17,Not specified: 17
2026-02-16,17,Not specified: 17
2026-02-20,16,Not specified: 16
