date,total_jobs,top_departments
2026-01-03,1,Not specified: 1
2026-01-05,1,Not specified: 1
2026-01-14,49,Not specified: 49
2026-01-21,49,Not specified: 49
2026-01-27,49,Not specified: 49
2026-01-28,49,Not specified: 49
2026-01-29,49,Not specified: 49
2026-01-30,49,Not specified: 49
2026-01-31,49,Not specified: 49
2026-02-01,49,Not specified: 49
2026-02-02,49,Not specified: 49
2026-02-03,49,Not specified: 49
2026-02-04,48,Not specified: 48
2026-02-05,48,Not specified: 48
2026-02-06,48,Not specified: 48
2026-02-07,48,Not specified: 48
2026-02-08,48,Not specified: 48
2026-02-09,48,Not specified: 48
2026-02-10,48,Not specified: 48
2026-02-11,48,Not specified: 48
2026-02-12,49,Not specified: 49
2026-02-13,49,Not specified: 49
2026-02-14,49,Not specified: 49
2026-02-15,49,Not specified: 49
2026-02-16,49,Not specified: 49
2026-02-20,49,Not specified: 49
2026-02-21,49,Not specified: 49
2026-02-22,49,Not specified: 49
2026-02-23,49,Not specified: 49
2026-02-24,49,Not specified: 49
2026-02-25,49,Not specified: 49
2026-02-26,49,Not specified: 49
2026-02-27,49,Not specified: 49
2026-02-28,49,Not specified: 49
2026-03-01,49,Not specified: 49
2026-03-02,49,Not specified: 49
2026-03-03,49,Not specified: 49
2026-03-04,49,Not specified: 49
